i,j,vx,vy,tipo_nodo
16,4,0.921977,0.000000,Fluido Libre
16,5,0.770106,0.000000,Fluido Libre
16,6,0.463984,0.000000,Fluido Libre
16,7,0.000000,0.000000,Pared
17,0,0.000000,0.000000,Pared
17,1,0.467003,0.000000,Fluido Libre
17,2,0.775634,0.000000,Fluido Libre
17,3,0.928772,0.000000,Fluido Libre
17,4,0.928661,0.000000,Fluido Libre
17,5,0.775399,0.000000,Fluido Libre
17,6,0.466833,0.000000,Fluido Libre
17,7,0.000000,0.000000,Pared
18,0,0.000000,0.000000,Pared
18,1,0.469253,0.000000,Fluido Libre
18,2,0.779859,0.000000,Fluido Libre
18,3,0.934209,0.000000,Fluido Libre
18,4,0.934146,0.000000,Fluido Libre
18,5,0.779727,0.000000,Fluido Libre
18,6,0.469157,0.000000,Fluido Libre
18,7,0.000000,0.000000,Pared
19,0,0.000000,0.000000,Pared
19,1,0.471114,0.000000,Fluido Libre
19,2,0.783350,0.000000,Fluido Libre
19,3,0.938691,0.000000,Fluido Libre
19,4,0.938655,0.000000,Fluido Libre
19,5,0.783275,0.000000,Fluido Libre
19,6,0.471059,0.000000,Fluido Libre
19,7,0.000000,0.000000,Pared
20,0,0.000000,0.000000,Pared
20,1,0.472652,0.000000,Fluido Libre
20,2,0.786234,0.000000,Fluido Libre
20,3,0.942388,0.000000,Fluido Libre
20,4,0.942368,0.000000,Fluido Libre
20,5,0.786192,0.000000,Fluido Libre
20,6,0.472621,0.000000,Fluido Libre
20,7,0.000000,0.000000,Pared
21,0,0.000000,0.000000,Pared
21,1,0.473923,0.000000,Fluido Libre
21,2,0.788616,0.000000,Fluido Libre
21,3,0.945440,0.000000,Fluido Libre
21,4,0.945428,0.000000,Fluido Libre
21,5,0.788592,0.000000,Fluido Libre
21,6,0.473905,0.000000,Fluido Libre
21,7,0.000000,0.000000,Pared
22,0,0.000000,0.000000,Pared
22,1,0.474973,0.000000,Fluido Libre
22,2,0.790585,0.000000,Fluido Libre
22,3,0.947959,0.000000,Fluido Libre
22,4,0.947953,0.000000,Fluido Libre
22,5,0.790571,0.000000,Fluido Libre
22,6,0.474964,0.000000,Fluido Libre
22,7,0.000000,0.000000,Pared
23,0,0.000000,0.000000,Pared
23,1,0.475842,0.000000,Fluido Libre
23,2,0.792211,0.000000,Fluido Libre
23,3,0.950041,0.000000,Fluido Libre
23,4,0.950037,0.000000,Fluido Libre
23,5,0.792204,0.000000,Fluido Libre
23,6,0.475836,0.000000,Fluido Libre
23,7,0.000000,0.000000,Pared
24,0,0.000000,0.000000,Pared
24,1,0.476559,0.000000,Fluido Libre
24,2,0.793555,0.000000,Fluido Libre
24,3,0.951760,0.000000,Fluido Libre
24,4,0.951758,0.000000,Fluido Libre
24,5,0.793551,0.000000,Fluido Libre
24,6,0.476556,0.000000,Fluido Libre
24,7,0.000000,0.000000,Pared
